iter	Passed	Remaining
163	1250	6374
164	1257	6363
165	1264	6354
166	1271	6344
167	1279	6335
168	1286	6325
169	1294	6320
170	1299	6300
171	1306	6288
172	1314	6282
173	1322	6279
174	1329	6268
175	1334	6249
176	1341	6239
177	1348	6226
178	1355	6218
179	1363	6211
180	1370	6202
181	1378	6193
182	1385	6183
183	1389	6163
184	1397	6157
185	1405	6151
186	1411	6136
187	1418	6127
188	1425	6117
189	1433	6110
190	1440	6103
191	1447	6093
192	1455	6087
193	1462	6077
194	1470	6069
195	1477	6062
196	1484	6051
197	1492	6045
198	1499	6037
199	1507	6029
200	1515	6023
201	1522	6015
202	1529	6003
203	1536	5996
204	1543	5986
205	1551	5980
206	1559	5973
207	1566	5965
208	1574	5958
209	1581	5950
210	1589	5943
211	1596	5935
212	1604	5928
213	1612	5922
214	1619	5914
215	1626	5905
216	1634	5896
217	1641	5887
218	1648	5878
219	1656	5873
220	1663	5865
221	1671	5856
222	1678	5849
223	1686	5843
224	1694	5836
225	1701	5827
226	1708	5819
227	1716	5810
228	1723	5803
229	1731	5796
230	1738	5788
231	1747	5784
232	1755	5777
233	1761	5767
234	1768	5757
235	1776	5751
236	1784	5744
237	1791	5734
238	1798	5725
239	1805	5716
240	1812	5708
241	1820	5701
242	1827	5694
243	1835	5686
244	1842	5677
245	1849	5670
246	1857	5663
247	1865	5656
248	1872	5647
249	1879	5639
250	1887	5632
251	1894	5624
252	1903	5619
253	1910	5612
254	1918	5604
255	1925	5596
256	1933	5590
257	1941	5584
258	1949	5577
259	1956	5568
260	1964	5561
261	1971	5552
262	1979	5547
263	1987	5539
264	1994	5531
265	2002	5524
266	2009	5516
267	2016	5507
268	2023	5500
269	2031	5492
270	2039	5485
271	2046	5477
272	2053	5469
273	2061	5461
274	2068	5454
275	2076	5446
276	2084	5440
277	2092	5433
278	2098	5424
279	2106	5416
280	2114	5409
281	2122	5403
282	2129	5395
283	2137	5387
284	2144	5380
285	2153	5375
286	2159	5366
287	2168	5359
288	2175	5352
289	2183	5344
290	2190	5337
291	2198	5329
292	2205	5322
293	2213	5314
294	2220	5307
295	2228	5300
296	2235	5291
297	2242	5282
298	2249	5274
299	2257	5267
300	2265	5260
301	2273	5255
302	2281	5247
303	2289	5240
304	2296	5233
305	2304	5226
306	2311	5218
307	2319	5211
308	2326	5202
309	2334	5195
310	2341	5186
311	2348	5179
312	2356	5172
313	2363	5163
314	2370	5155
315	2378	5147
316	2385	5140
317	2392	5131
318	2400	5124
319	2407	5116
320	2415	5108
321	2421	5099
322	2429	5092
323	2436	5082
324	2443	5074
325	2451	5068
326	2458	5059
327	2465	5050
328	2472	5041
329	2480	5036
330	2487	5028
331	2494	5019
332	2502	5012
333	2509	5004
334	2517	4996
335	2524	4988
336	2532	4981
337	2538	4972
338	2546	4964
339	2554	4957
340	2561	4949
341	2568	4941
342	2575	4933
343	2583	4925
344	2590	4917
345	2597	4909
346	2604	4901
347	2611	4893
348	2619	4885
349	2626	4877
350	2633	4870
351	2640	4860
352	2649	4855
353	2656	4848
354	2663	4839
355	2671	4831
356	2678	4824
357	2686	4817
358	2693	4809
359	2701	4801
360	2707	4793
361	2715	4786
362	2723	4779
363	2731	4772
364	2738	4764
365	2746	4756
366	2753	4749
367	2760	4740
368	2767	4732
369	2774	4724
370	2782	4717
371	2789	4709
372	2797	4701
373	2803	4693
374	2811	4686
375	2818	4677
376	2825	4669
377	2833	4661
378	2840	4653
379	2847	4646
380	2855	4638
381	2862	4631
382	2869	4622
383	2877	4616
384	2885	4608
385	2892	4600
386	2899	4592
387	2906	4583
388	2913	4575
389	2920	4568
390	2928	4560
391	2934	4552
392	2943	4545
393	2949	4537
394	2957	4529
395	2963	4520
396	2970	4512
397	2978	4504
398	2985	4497
399	2993	4489
400	3000	4482
401	3008	4474
402	3016	4467
403	3023	4460
404	3030	4452
405	3038	4445
406	3046	4438
407	3053	4430
408	3061	4423
409	3068	4416
410	3077	4410
411	3084	4402
412	3092	4394
413	3099	4387
